
 QR Code Verifier  v0.2.0

241 images founded


╭──────────────────────────────────────────────────────────────────────────────╮
│                                                                              │
│   Verify scannable QR Code in the current directory:                         │
│   /Users/admin/Library/CloudStorage/OneDrive-UniversityofGlasgow/_L5_proje   │
│   ct/qr_gen_sd/qr_gen_sd/experiment_monster-labs/images_v3/images            │
│                                                                              │
│   Prints the scan result only.                                               │
│                                                                              │
╰──────────────────────────────────────────────────────────────────────────────╯

 SCAN  07-24-46_11-04-2024.png - Demo
 SCAN  07-27-28_11-04-2024.png - Demo
 SCAN  07-26-34_11-04-2024.png - Demo
 SCAN  07-25-40_11-04-2024.png - Demo
 SCAN  07-28-22_11-04-2024.png - Demo
 SCAN  07-31-05_11-04-2024.png - Demo
 SCAN  07-32-53_11-04-2024.png - Demo
 SCAN  07-31-59_11-04-2024.png - Demo
 SCAN  07-33-47_11-04-2024.png - Demo
 SCAN  07-36-30_11-04-2024.png - Demo
 SCAN  07-34-41_11-04-2024.png - Demo
 SCAN  07-35-35_11-04-2024.png - Demo
 SCAN  07-37-24_11-04-2024.png - Demo
 SCAN  07-29-16_11-04-2024.png - Demo
 SCAN  07-38-18_11-04-2024.png - Demo
 SCAN  07-39-12_11-04-2024.png - Demo
 SCAN  07-40-07_11-04-2024.png - Demo
 SCAN  07-41-01_11-04-2024.png - Demo
 SCAN  07-42-49_11-04-2024.png - Demo
 SCAN  07-43-44_11-04-2024.png - Demo
 SCAN  07-45-32_11-04-2024.png - Demo
 SCAN  07-46-26_11-04-2024.png - Demo
 SCAN  07-47-20_11-04-2024.png - Demo
 SCAN  07-41-55_11-04-2024.png - Demo
 SCAN  07-48-14_11-04-2024.png - Demo
 SCAN  07-49-08_11-04-2024.png - Demo
 SCAN  07-44-38_11-04-2024.png - Demo
 SCAN  07-50-02_11-04-2024.png - Demo
 SCAN  07-56-20_11-04-2024.png - Demo
 SCAN  07-52-45_11-04-2024.png - Demo
 SCAN  07-53-38_11-04-2024.png - Demo
 SCAN  07-50-56_11-04-2024.png - Demo
 SCAN  07-51-51_11-04-2024.png - Demo
 SCAN  07-59-56_11-04-2024.png - Demo
 SCAN  07-58-08_11-04-2024.png - Demo
 SCAN  07-54-33_11-04-2024.png - Demo
 SCAN  07-55-26_11-04-2024.png - Demo
 SCAN  08-03-32_11-04-2024.png - Demo
 FAIL  07-30-10_11-04-2024.png
 SCAN  08-04-26_11-04-2024.png - Demo
 FAIL  07-57-14_11-04-2024.png
 FAIL  07-59-02_11-04-2024.png
 FAIL  08-00-50_11-04-2024.png
 SCAN  08-09-50_11-04-2024.png - Demo
 FAIL  08-01-44_11-04-2024.png
 SCAN  08-10-44_11-04-2024.png - Demo
 SCAN  08-11-38_11-04-2024.png - Demo
 SCAN  08-12-32_11-04-2024.png - Demo
 SCAN  08-13-26_11-04-2024.png - Demo
 SCAN  08-14-20_11-04-2024.png - Demo
 FAIL  08-02-38_11-04-2024.png
 SCAN  08-16-08_11-04-2024.png - Demo
 SCAN  08-17-02_11-04-2024.png - Demo
 SCAN  08-17-56_11-04-2024.png - Demo
 SCAN  08-18-50_11-04-2024.png - Demo
 SCAN  08-20-38_11-04-2024.png - Demo
 SCAN  08-21-32_11-04-2024.png - Demo
 SCAN  08-22-26_11-04-2024.png - Demo
 SCAN  08-19-44_11-04-2024.png - Demo
 SCAN  08-23-20_11-04-2024.png - Demo
 SCAN  08-25-08_11-04-2024.png - Demo
 SCAN  08-26-02_11-04-2024.png - Demo
 SCAN  08-53-20_08-04-2024.png - Demo
 SCAN  08-53-48_08-04-2024.png - Demo
 SCAN  08-54-17_08-04-2024.png - Demo
 SCAN  08-54-47_08-04-2024.png - Demo
 SCAN  08-55-16_08-04-2024.png - Demo
 SCAN  08-55-45_08-04-2024.png - Demo
 FAIL  08-05-20_11-04-2024.png
 SCAN  08-56-15_08-04-2024.png - Demo
 SCAN  08-56-44_08-04-2024.png - Demo
 SCAN  08-57-14_08-04-2024.png - Demo
 SCAN  08-57-43_08-04-2024.png - Demo
 SCAN  08-58-13_08-04-2024.png - Demo
 SCAN  08-58-43_08-04-2024.png - Demo
 SCAN  08-59-12_08-04-2024.png - Demo
 SCAN  08-59-42_08-04-2024.png - Demo
 SCAN  09-00-11_08-04-2024.png - Demo
 SCAN  09-00-41_08-04-2024.png - Demo
 FAIL  08-06-14_11-04-2024.png
 FAIL  08-07-08_11-04-2024.png
 SCAN  09-01-10_08-04-2024.png - Demo
 SCAN  09-01-40_08-04-2024.png - Demo
 SCAN  09-02-09_08-04-2024.png - Demo
 SCAN  09-02-38_08-04-2024.png - Demo
 SCAN  09-03-08_08-04-2024.png - Demo
 SCAN  09-03-37_08-04-2024.png - Demo
 SCAN  09-04-07_08-04-2024.png - Demo
 SCAN  09-04-36_08-04-2024.png - Demo
 SCAN  09-05-06_08-04-2024.png - Demo
 SCAN  09-05-35_08-04-2024.png - Demo
 SCAN  09-06-04_08-04-2024.png - Demo
 SCAN  09-06-34_08-04-2024.png - Demo
 SCAN  09-07-03_08-04-2024.png - Demo
 SCAN  09-07-33_08-04-2024.png - Demo
 SCAN  09-08-02_08-04-2024.png - Demo
 SCAN  09-08-31_08-04-2024.png - Demo
 SCAN  09-09-01_08-04-2024.png - Demo
 SCAN  09-09-30_08-04-2024.png - Demo
 SCAN  09-10-00_08-04-2024.png - Demo
 SCAN  09-10-29_08-04-2024.png - Demo
 SCAN  09-10-59_08-04-2024.png - Demo
 SCAN  09-11-28_08-04-2024.png - Demo
 SCAN  09-11-58_08-04-2024.png - Demo
 SCAN  09-12-27_08-04-2024.png - Demo
 SCAN  09-13-26_08-04-2024.png - Demo
 SCAN  09-13-55_08-04-2024.png - Demo
 FAIL  08-08-02_11-04-2024.png
